Date,Name,Symbol,Price,Market Cap,Circulating Supply,url
Historical Snapshot - 28 April 2013,Bitcoin,BTC,,"$1,488,566,971.96","11,091,325",https://coinmarketcap.com/historical/20130428/
Historical Snapshot - 28 April 2013,Litecoin,LTC,,"$74,637,021.57","17,164,230",https://coinmarketcap.com/historical/20130428/
Historical Snapshot - 28 April 2013,Peercoin,PPC,,"$7,250,186.65","18,757,362",https://coinmarketcap.com/historical/20130428/
Historical Snapshot - 28 April 2013,Namecoin,NMC,,"$5,995,997.19","5,415,300",https://coinmarketcap.com/historical/20130428/
Historical Snapshot - 28 April 2013,Terracoin,TRC,,"$1,503,099.40","2,323,570",https://coinmarketcap.com/historical/20130428/
Historical Snapshot - 28 April 2013,Devcoin,DVC,,"$1,424,087.30","4,366,620,160",https://coinmarketcap.com/historical/20130428/
Historical Snapshot - 28 April 2013,Novacoin,NVC,,"$1,162,266.30","273,706",https://coinmarketcap.com/historical/20130428/
Historical Snapshot - 01 June 2014,Bitcoin,BTC,,"$8,094,127,199.29","12,843,150",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,Litecoin,LTC,,"$321,886,161.81","28,898,054",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,Nxt,NXT,,"$57,204,901.33","999,997,120",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,Dash,DASH,,"$56,209,180.93","4,347,579",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,Peercoin,PPC,,"$43,310,327.77","21,445,900",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,Dogecoin,DOGE,,"$32,411,576.04","80,494,583,808",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,XRP,XRP,,"$31,988,958.98","7,817,889,792",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,Namecoin,NMC,,"$20,355,604.12","8,912,132",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,BlackCoin,BLK,,"$15,261,384.80","74,543,768",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,Omni,OMNI,,"$10,349,619.40","619,478",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,BitShares PTS,PTS,,"$7,275,718.14","1,639,686",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,Counterparty,XCP,,"$7,060,670.61","2,649,260",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,XCurrency,XC,,"$6,835,715.86","5,511,467",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,MaidSafeCoin,MAID,,"$6,512,654.60","452,552,416",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,Vertcoin,VTC,,"$4,348,691.41","4,853,350",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,Quark,QRK,,"$3,978,265.46","247,896,384",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,Primecoin,XPM,,"$3,452,777.28","5,834,095",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 04 May 2014,Bitcoin,BTC,,"$5,554,781,871.21","12,728,550",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 25 May 2014,Bitcoin,BTC,,"$7,325,371,160.59","12,815,825",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 11 May 2014,Bitcoin,BTC,,"$5,598,957,083.42","12,757,200",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 18 May 2014,Bitcoin,BTC,,"$5,706,167,060.01","12,786,525",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 01 June 2014,Feathercoin,FTC,,"$2,738,997.85","44,868,448",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,Auroracoin,AUR,,"$2,622,490.58","10,868,613",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 01 June 2014,Qora,QORA,,"$2,549,969.07","10,000,000,000",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 04 May 2014,Litecoin,LTC,,"$289,709,891.41","28,071,404",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 04 May 2014,Peercoin,PPC,,"$44,692,398.30","21,374,380",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 04 May 2014,XRP,XRP,,"$39,279,332.33","7,817,889,792",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 04 May 2014,Dogecoin,DOGE,,"$35,579,309.45","75,990,417,408",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 04 May 2014,Nxt,NXT,,"$22,593,027.11","999,997,120",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 04 May 2014,Omni,OMNI,,"$20,033,800.46","619,478",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 04 May 2014,Namecoin,NMC,,"$18,203,779.44","8,675,732",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 04 May 2014,BlackCoin,BLK,,"$9,885,921.42","74,523,368",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 04 May 2014,Dash,DASH,,"$6,537,964.39","4,217,081",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 04 May 2014,MaidSafeCoin,MAID,,"$5,743,611.40","452,552,416",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 04 May 2014,BitShares PTS,PTS,,"$5,664,670.05","1,634,098",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 04 May 2014,Auroracoin,AUR,,"$5,013,649.39","10,769,838",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 04 May 2014,Quark,QRK,,"$4,261,724.05","247,794,208",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 04 May 2014,Primecoin,XPM,,"$4,031,676.66","5,523,439",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 25 May 2014,Litecoin,LTC,,"$330,645,753.88","28,682,654",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Dash,DASH,,"$65,445,424.09","4,325,709",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Peercoin,PPC,,"$51,949,059.82","21,428,466",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Nxt,NXT,,"$40,872,374.18","999,997,120",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Dogecoin,DOGE,,"$33,755,000.65","79,396,823,040",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,XRP,XRP,,"$28,500,220.49","7,817,889,792",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Namecoin,NMC,,"$24,066,058.13","8,940,150",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Omni,OMNI,,"$17,674,774.71","619,478",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,BlackCoin,BLK,,"$11,503,699.43","74,543,736",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Counterparty,XCP,,"$8,432,266.21","2,649,267",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,BitShares PTS,PTS,,"$7,212,677.12","1,638,447",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,MaidSafeCoin,MAID,,"$6,200,535.83","452,552,416",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Vertcoin,VTC,,"$4,845,190.50","4,653,200",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Quark,QRK,,"$4,322,045.14","247,875,888",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Primecoin,XPM,,"$4,044,336.47","5,827,464",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 25 May 2014,Auroracoin,AUR,,"$3,520,072.08","10,843,776",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 11 May 2014,Litecoin,LTC,,"$292,765,103.13","28,267,354",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,XRP,XRP,,"$44,981,568.00","7,817,889,792",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Peercoin,PPC,,"$44,197,252.82","21,391,686",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Dogecoin,DOGE,,"$35,195,711.23","77,153,173,504",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Nxt,NXT,,"$29,994,067.97","999,997,120",https://coinmarketcap.com/historical/20140511/
Historical Snapshot - 11 May 2014,Omni,OMNI,,"$19,361,948.61","619,478",https://coinmarketcap.com/historical/20140511/
