Date,Name,Symbol,Price,Market Cap,Circulating Supply
Historical Snapshot - 18 May 2014,Bitcoin,BTC,$446.26,"$5,706,167,060.01","12,786,525"
Historical Snapshot - 18 May 2014,Litecoin,LTC,$10.36,"$295,067,065.81","28,480,054"
Historical Snapshot - 18 May 2014,XRP,XRP,$0.006004,"$46,938,108.57","7,817,889,792"
Historical Snapshot - 18 May 2014,Peercoin,PPC,$2.07,"$44,387,387.33","21,412,062"
Historical Snapshot - 18 May 2014,Nxt,NXT,$0.03905,"$39,047,534.81","999,997,120"
Historical Snapshot - 18 May 2014,Dogecoin,DOGE,$0.0004486,"$35,125,175.50","78,300,807,168"
Historical Snapshot - 18 May 2014,Dash,DASH,$6.38,"$27,439,485.61","4,301,024"
Historical Snapshot - 18 May 2014,Namecoin,NMC,$1.98,"$17,412,679.43","8,795,332"
Historical Snapshot - 18 May 2014,Omni,OMNI,$23.39,"$14,492,684.55","619,478"
Historical Snapshot - 18 May 2014,BlackCoin,BLK,$0.08454,"$6,301,694.01","74,537,360"
Historical Snapshot - 18 May 2014,MaidSafeCoin,MAID,$0.01322,"$5,984,489.14","452,552,416"
Historical Snapshot - 18 May 2014,BitShares PTS,PTS,$3.58,"$5,858,212.49","1,637,149"
Historical Snapshot - 18 May 2014,Counterparty,XCP,$1.75,"$4,636,830.57","2,649,274"
Historical Snapshot - 18 May 2014,Vertcoin,VTC,$1.00,"$4,456,775.72","4,454,900"
Historical Snapshot - 18 May 2014,Quark,QRK,$0.01676,"$4,152,959.23","247,855,392"
Historical Snapshot - 18 May 2014,Auroracoin,AUR,$0.3752,"$4,060,139.33","10,819,963"
Historical Snapshot - 18 May 2014,Primecoin,XPM,$0.6096,"$3,499,194.82","5,739,916"
Historical Snapshot - 18 May 2014,Feathercoin,FTC,$0.0757,"$3,286,294.01","43,414,608"
Historical Snapshot - 18 May 2014,Zetacoin,ZET,$0.01371,"$2,200,317.87","160,451,712"
Historical Snapshot - 18 May 2014,Megacoin,MEC,$0.09103,"$2,140,043.85","23,510,450"
Historical Snapshot - 28 April 2013,Bitcoin,BTC,$134.21,"$1,488,566,971.96","11,091,325"
Historical Snapshot - 28 April 2013,Litecoin,LTC,$4.35,"$74,637,021.57","17,164,230"
Historical Snapshot - 28 April 2013,Peercoin,PPC,$0.3865,"$7,250,186.65","18,757,362"
Historical Snapshot - 28 April 2013,Namecoin,NMC,$1.11,"$5,995,997.19","5,415,300"
Historical Snapshot - 28 April 2013,Terracoin,TRC,$0.6469,"$1,503,099.40","2,323,570"
Historical Snapshot - 28 April 2013,Devcoin,DVC,$0.0003261,"$1,424,087.30","4,366,620,160"
Historical Snapshot - 28 April 2013,Novacoin,NVC,$4.25,"$1,162,266.30","273,706"
Historical Snapshot - 20 April 2014,Bitcoin,BTC,$498.17,"$6,312,898,134.70","12,672,225"
Historical Snapshot - 20 April 2014,Litecoin,LTC,$12.62,"$348,853,045.83","27,636,204"
Historical Snapshot - 20 April 2014,Peercoin,PPC,$2.64,"$56,286,524.19","21,334,810"
Historical Snapshot - 20 April 2014,XRP,XRP,$0.006214,"$48,577,872.02","7,817,889,792"
Historical Snapshot - 20 April 2014,Dogecoin,DOGE,$0.0006285,"$45,497,438.97","72,389,541,888"
Historical Snapshot - 20 April 2014,Omni,OMNI,$68.92,"$42,697,367.07","619,478"
Historical Snapshot - 20 April 2014,Nxt,NXT,$0.02575,"$25,749,616.67","999,997,120"
Historical Snapshot - 20 April 2014,Namecoin,NMC,$2.60,"$22,302,086.92","8,564,332"
Historical Snapshot - 20 April 2014,BlackCoin,BLK,$0.2382,"$17,752,058.78","74,511,072"
Historical Snapshot - 20 April 2014,Auroracoin,AUR,$0.8444,"$9,051,803.63","10,719,751"
Historical Snapshot - 20 April 2014,BitShares PTS,PTS,$4.31,"$7,021,070.67","1,629,933"
Historical Snapshot - 20 April 2014,Quark,QRK,$0.02397,"$5,938,171.65","247,772,720"
Historical Snapshot - 20 April 2014,Primecoin,XPM,$0.9651,"$5,145,904.85","5,331,848"
Historical Snapshot - 20 April 2014,Counterparty,XCP,$1.68,"$4,462,409.75","2,649,428"
Historical Snapshot - 20 April 2014,Feathercoin,FTC,$0.1099,"$4,441,868.85","40,411,748"
Historical Snapshot - 11 May 2014,Bitcoin,BTC,$438.89,"$5,598,957,083.42","12,757,200"
Historical Snapshot - 20 April 2014,Marinecoin,MTC,$0.5932,"$4,302,669.75","7,253,888"
Historical Snapshot - 20 April 2014,Zetacoin,ZET,$0.02463,"$3,949,258.81","160,350,512"
Historical Snapshot - 20 April 2014,Vertcoin,VTC,$0.9926,"$3,610,205.69","3,637,150"
Historical Snapshot - 20 April 2014,Novacoin,NVC,$4.15,"$3,202,051.11","772,462"
