Date,Name,Symbol,Price,Market Cap,Circulating Supply,url
Historical Snapshot - 28 April 2013,Bitcoin,BTC,,"$1,488,566,971.96","11,091,325",https://coinmarketcap.com/historical/20130428/
Historical Snapshot - 18 May 2014,Bitcoin,BTC,,"$5,706,167,060.01","12,786,525",https://coinmarketcap.com/historical/20140518/
Historical Snapshot - 15 June 2014,Bitcoin,BTC,,"$7,649,365,737.79","12,900,800",https://coinmarketcap.com/historical/20140615/
Historical Snapshot - 01 June 2014,Bitcoin,BTC,,"$8,094,127,199.29","12,843,150",https://coinmarketcap.com/historical/20140601/
Historical Snapshot - 29 June 2014,Bitcoin,BTC,,"$7,813,285,930.13","12,963,475",https://coinmarketcap.com/historical/20140629/
Historical Snapshot - 08 June 2014,Bitcoin,BTC,,"$8,445,491,366.27","12,871,475",https://coinmarketcap.com/historical/20140608/
Historical Snapshot - 06 July 2014,Bitcoin,BTC,,"$8,258,182,479.31","12,988,500",https://coinmarketcap.com/historical/20140706/
Historical Snapshot - 25 May 2014,Bitcoin,BTC,,"$7,325,371,160.59","12,815,825",https://coinmarketcap.com/historical/20140525/
Historical Snapshot - 22 June 2014,Bitcoin,BTC,,"$7,788,611,993.35","12,932,025",https://coinmarketcap.com/historical/20140622/
Historical Snapshot - 06 April 2014,Bitcoin,BTC,,"$5,808,862,088.79","12,614,275",https://coinmarketcap.com/historical/20140406/
Historical Snapshot - 30 March 2014,Bitcoin,BTC,,"$5,791,425,431.84","12,582,575",https://coinmarketcap.com/historical/20140330/
Historical Snapshot - 20 April 2014,Bitcoin,BTC,,"$6,312,898,134.70","12,672,225",https://coinmarketcap.com/historical/20140420/
Historical Snapshot - 13 April 2014,Bitcoin,BTC,,"$5,234,669,425.31","12,642,200",https://coinmarketcap.com/historical/20140413/
Historical Snapshot - 27 April 2014,Bitcoin,BTC,,"$5,542,719,717.83","12,701,300",https://coinmarketcap.com/historical/20140427/
Historical Snapshot - 04 May 2014,Bitcoin,BTC,,"$5,554,781,871.21","12,728,550",https://coinmarketcap.com/historical/20140504/
Historical Snapshot - 11 May 2014,Bitcoin,BTC,,"$5,598,957,083.42","12,757,200",https://coinmarketcap.com/historical/20140511/
